municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Geraardsbergen,Geraardsbergen,Geraardsbergen,,,,51,,,,51
Geraardsbergen,Geraardsbergen,Goeferdinge,,,,17,,,,17
Geraardsbergen,Geraardsbergen,Grimminge,,,,6,,,,6
Geraardsbergen,Geraardsbergen,Idegem,,,,10,,,,10
Geraardsbergen,Geraardsbergen,Moerbeke,,,,16,,,,16
Geraardsbergen,Geraardsbergen,Nederboelare,,,,15,,,,15
Geraardsbergen,Geraardsbergen,Nieuwenhove,,,,1,,,3,4
Geraardsbergen,Geraardsbergen,Onkerzele,,,,30,,,,30
Geraardsbergen,Geraardsbergen,Ophasselt,,,,21,,,,21
Geraardsbergen,Geraardsbergen,Overboelare,,,,31,,,,31
Geraardsbergen,Geraardsbergen,Schendelbeke,,,,36,,,,36
Geraardsbergen,Geraardsbergen,Smeerebbe-Vloerzegem,,,,5,,,,5
Geraardsbergen,Geraardsbergen,Viane,,,,12,,,,12
Geraardsbergen,Geraardsbergen,Waarbeke,,,,4,,,,4
Geraardsbergen,Geraardsbergen,Zandbergen,,,,10,,,5,15
Geraardsbergen,Geraardsbergen,Zarlardinge,,,2,11,,,,13
Haaltert,Haaltert,Denderhoutem,,,,,,,41,41
Haaltert,Haaltert,Haaltert,,,,,,,46,46
Haaltert,Haaltert,Heldergem,,,,,,,10,10
Haaltert,Haaltert,Kerksken,,,,,,,13,13
Hamme,Hamme,Hamme,,,,,,,174,174
Hamme,Hamme,Moerzeke,,,,,,,39,39
Herzele,Herzele,Borsbeke,,,,14,,,,14
Herzele,Herzele,Herzele,,,,37,,,,37
Herzele,Herzele,Hillegem,,,,17,,,,17
Herzele,Herzele,Ressegem,,,,6,,,,6
Herzele,Herzele,Sint-Antelinks,,,,1,,,4,5
Herzele,Herzele,Sint-Lievens-Esse,,,,17,,,,17
Herzele,Herzele,Steenhuize-Wijnhuize,,,,16,,,,16
Herzele,Herzele,Woubrechtegem,,,,3,,,2,5
Horebeke,Horebeke,Sint-Kornelis-Horebeke,,,,,,,8,8
Horebeke,Horebeke,Sint-Maria-Horebeke,,,5,,,,16,21
Kaprijke,Kaprijke,Kaprijke,,,,,,,30,30
Kaprijke,Kaprijke,Lembeke,,,,,,,44,44
Kluisbergen,Kluisbergen,Berchem,,,1,,,,29,30
Kluisbergen,Kluisbergen,Kwaremont,,,,,,,17,17
Kluisbergen,Kluisbergen,Ruien,,,,,,,35,35
Kluisbergen,Kluisbergen,Zulzeke,,,1,,,,13,14
Knesselare,Knesselare,Knesselare,,,,,,53,,53
Knesselare,Knesselare,Ursel,,,,,,31,4,35
Kruibeke,Kruibeke,Bazel,,,,,,,42,42
Kruibeke,Kruibeke,Kruibeke,,,,,,,64,64
Kruibeke,Kruibeke,Rupelmonde,,,,,,,16,16
Kruishoutem,Kruishoutem,Kruishoutem,,,2,,,,104,106
Kruishoutem,Kruishoutem,Lozer-Kern,,,3,,,,14,17
Kruishoutem,Kruishoutem,Nokere,,,,,,,21,21
Kruishoutem,Kruishoutem,Wannegem-Lede,,,15,,,,2,17
Laarne,Laarne,Kalken,7,,,,,43,,50
Laarne,Laarne,Laarne,2,,,,,55,,57
Lebbeke,Lebbeke,Denderbelle,,17,,,,,,17
Lebbeke,Lebbeke,Lebbeke,,38,55,,,,13,106
Lebbeke,Lebbeke,Wieze,,16,,,,,8,24
Lede,Lede,Impe,9,,,,,,,9
Lede,Lede,Lede,76,,,,,,,76
Lede,Lede,Oordegem,34,,,,,,,34
Lede,Lede,Smetlede,8,,,,,,,8
Lede,Lede,Wanzele,4,,,,,,,4
Lierde,Lierde,Deftinge,,,,14,,,,14
Lierde,Lierde,Hemelveerdegem,,,,4,,,,4
Lierde,Lierde,Sint-Maria-Lierde,,,,22,,,,22
Lierde,Lierde,Sint-Martens-Lierde,,,,13,,,,13
Lochristi,Lochristi,Beervelde,,,,,,32,8,40
Lochristi,Lochristi,Lochristi,,,,,,4,118,122
Lochristi,Lochristi,Zaffelare,,,,,,5,30,35
Lochristi,Lochristi,Zeveneken,,,,,,,31,31
Lokeren,Lokeren,Daknam,7,,,,,,,7
Lokeren,Lokeren,Eksaarde,1,,,,,,38,39
Lokeren,Lokeren,Lokeren,157,,,,,1,190,348
Lovendegem,Lovendegem,Lovendegem,,,,,,,71,71
Lovendegem,Lovendegem,Vinderhoute,,,,,,,10,10
Maarkedal,Maarkedal,Etikhove,,,21,,,,15,36
Maarkedal,Maarkedal,Maarke-Kerkem,,,12,,,,,12
Maarkedal,Maarkedal,Nukerke,,,6,,,,24,30
Maarkedal,Maarkedal,Schorisse,,,18,,,,2,20
Maldegem,Maldegem,Adegem,,,,,,,71,71
Maldegem,Maldegem,Maldegem,,,,,,36,155,191
Maldegem,Maldegem,Middelburg,,,,,,,10,10
Melle,Melle,Gontrode,,,,,,10,,10
Melle,Melle,Melle,,,,,,77,36,113
Merelbeke,Merelbeke,Bottelare,,,,,,20,,20
Merelbeke,Merelbeke,Melsen,,,,,,11,,11
Merelbeke,Merelbeke,Merelbeke,,,2,,,86,73,161
Merelbeke,Merelbeke,Munte,,,,,,10,,10
Merelbeke,Merelbeke,Schelderode,,,,,,19,,19
Moerbeke,Moerbeke,Moerbeke-Waas,43,,,,,5,15,63
Nazareth,Nazareth,Eke,,,,,,,71,71
Nazareth,Nazareth,Nazareth,,,,,,,108,108
Nevele,Nevele,Hansbeke,,,19,,,2,,21
Nevele,Nevele,Landegem,,,34,,,,1,35
Nevele,Nevele,Merendree,,,13,,,,10,23
Nevele,Nevele,Nevele,,,46,,,,1,47
Nevele,Nevele,Poesele,,,3,,,4,,7
Nevele,Nevele,Vosselare,,,17,,,,,17
Ninove,Ninove,Appelterre-Eichem,,,,,,,23,23
Ninove,Ninove,Aspelare,,,,,,,12,12
Ninove,Ninove,Denderwindeke,,,,,,,29,29
Ninove,Ninove,Lieferinge,,,,,,,2,2
Ninove,Ninove,Meerbeke,,,,,,,38,38
Ninove,Ninove,Nederhasselt,,,,,,,7,7
Ninove,Ninove,Neigem,,,,,,,2,2
Ninove,Ninove,Ninove,,,,,,,136,136
Ninove,Ninove,Okegem,,,,,,,12,12
Ninove,Ninove,Outer,,,,,,,26,26
Ninove,Ninove,Pollare,,,,,,,7,7
Ninove,Ninove,Voorde,,,,6,,,6,12
Oosterzele,Oosterzele,Balegem,31,,,,,,,31
Oosterzele,Oosterzele,Gijzenzele,,,,,,9,,9
Oosterzele,Oosterzele,Landskouter,,,,,,6,,6
Oosterzele,Oosterzele,Moortsele,,,,,,10,,10
Oosterzele,Oosterzele,Oosterzele,14,,,,,20,,34
Oosterzele,Oosterzele,Scheldewindeke,4,,,,,39,,43
Oudenaarde,Oudenaarde,Heurne,,,9,,,,,9
Oudenaarde,Oudenaarde,Mater,,,18,,,,9,27
Oudenaarde,Oudenaarde,Melden,,,28,,,,3,31
Oudenaarde,Oudenaarde,Mullem,,,8,,,,,8
Oudenaarde,Oudenaarde,Oudenaarde,,,318,,,,,318
Oudenaarde,Oudenaarde,Welden,,,9,,,,3,12
Ronse,Ronse,Ronse,,,1,,,,256,257
Sint-Gillis-Waas,Sint-Gillis-Waas,De Klinge,,17,,,,,1,18
Sint-Gillis-Waas,Sint-Gillis-Waas,Meerdonk,,,,,,,14,14
Sint-Gillis-Waas,Sint-Gillis-Waas,Peisels en Verre,,5,,,,,,5
Sint-Gillis-Waas,Sint-Gillis-Waas,Sint-Gillis-Waas,,89,,,,,1,90
Sint-Gillis-Waas,Sint-Gillis-Waas,Sint-Pauwels,,42,,,,,,42
Sint-Laureins,Sint-Laureins,Sint-Jan-in-Eremo,,,,,,,15,15
Sint-Laureins,Sint-Laureins,Sint-Laureins,,,,,,,41,41
Sint-Laureins,Sint-Laureins,Sint-Margriete,,,,,,,11,11
Sint-Laureins,Sint-Laureins,Waterland-Oudeman,,,,,,,8,8
Sint-Laureins,Sint-Laureins,Watervliet,,,,,,,26,26
Sint-Lievens-Houtem,Sint-Lievens-Houtem,Bavegem,17,,,,,,,17
Sint-Lievens-Houtem,Sint-Lievens-Houtem,Letterhoutem,10,,,,,,,10
Sint-Lievens-Houtem,Sint-Lievens-Houtem,Sint-Lievens-Houtem,38,,,,,,,38
Sint-Lievens-Houtem,Sint-Lievens-Houtem,Vlierzele,21,,,,,,,21
Sint-Lievens-Houtem,Sint-Lievens-Houtem,Zonnegem,5,,,,,,,5
Sint-Martens-Latem,Sint-Martens-Latem,Deurle,,,35,,,,,35
Sint-Martens-Latem,Sint-Martens-Latem,Sint-Martens-Latem,,,76,,,,,76
Sint-Niklaas,Sint-Niklaas,Belsele,63,9,,,,,12,84
Sint-Niklaas,Sint-Niklaas,Nieuwkerken-Waas,,46,,,,,4,50
Sint-Niklaas,Sint-Niklaas,Sinaai-Waas,36,11,,,,,2,49
Sint-Niklaas,Sint-Niklaas,Sint-Niklaas,87,67,,,,,336,490
Stekene,Stekene,Kemzeke,,28,,,,,,28
Stekene,Stekene,Klein Sinaai-Kern,2,9,,,,,,11
Stekene,Stekene,Stekene,,121,,,,,,121
Temse,Temse,Elversele,15,,,,,,6,21
Temse,Temse,Steendorp,,,,,,,19,19
Temse,Temse,Temse,,,,,,,212,212
Temse,Temse,Tielrode,14,,,,,,11,25
Waarschoot,Waarschoot,Waarschoot,,,,,,,75,75
Waasmunster,Waasmunster,Waasmunster,106,,,,,,,106
Wachtebeke,Wachtebeke,Wachtebeke,2,,,,,77,,79
Wetteren,Wetteren,Massemen,13,,,,,4,,17
Wetteren,Wetteren,Westrem,12,,,,,1,,13
Wetteren,Wetteren,Wetteren,149,,,,,76,,225
Wichelen,Wichelen,Schellebelle,30,,,,,,,30
Wichelen,Wichelen,Serskamp,22,,,,,,,22
Wichelen,Wichelen,Wichelen,40,,,,,,,40
Wortegem-Petegem,Wortegem-Petegem,Elsegem,,,9,,,,4,13
Wortegem-Petegem,Wortegem-Petegem,Moregem en Ooike,,,14,,,,4,18
Wortegem-Petegem,Wortegem-Petegem,Petegem-aan-de-Schelde,,,27,,,,,27
Wortegem-Petegem,Wortegem-Petegem,Wortegem,,,1,,,,35,36
Zele,Zele,Zele,192,,,,,,7,199
Zelzate,Zelzate,Zelzate,,,,,,58,34,92
Zingem,Zingem,Huise,,,21,,,,9,30
Zingem,Zingem,Ouwegem,,,1,,,,15,16
Zingem,Zingem,Zingem,,,5,,,,24,29
Zomergem,Zomergem,Oostwinkel,,,,,,,9,9
Zomergem,Zomergem,Ronsele,,,,,,,6,6
Zomergem,Zomergem,Zomergem,,,,,,25,57,82
Zottegem,Zottegem,Elene en Oombergen,1,,,17,,,,18
Zottegem,Zottegem,Erwetegem,,,,21,,,,21
Zottegem,Zottegem,Godveerdegem,,,,10,,,,10
Zottegem,Zottegem,Grotenberge,,,,30,,,,30
Zottegem,Zottegem,Leeuwergem,,,,25,,,,25
Zottegem,Zottegem,Sint-Goriks-Oudenhove,,,,6,,,,6
Zottegem,Zottegem,Sint-Maria-Oudenhove,,,,12,,,,12
Zottegem,Zottegem,Strijpen,,,,28,,,,28
Zottegem,Zottegem,Velzeke-Ruddershove,,,,27,,,,27
Zottegem,Zottegem,Zottegem,,,,57,,,,57
Zulte,Zulte,Machelen,,,,,,,47,47
Zulte,Zulte,Olsene,,,,,,,53,53
Zulte,Zulte,Zulte,,,,,,,85,85
Zwalm,Zwalm,Beerlegem,,,,,,,4,4
Zwalm,Zwalm,Dikkele,,,,,,,2,2
Zwalm,Zwalm,Hundelgem,,,,,,,5,5
Zwalm,Zwalm,Meilegem,,,,,,,5,5
Zwalm,Zwalm,Munkzwalm,,,,,,,18,18
Zwalm,Zwalm,Nederzwalm-Hermelgem,,,,,,,8,8
Zwalm,Zwalm,Paulatem,,,,,,,2,2
Zwalm,Zwalm,Roborst,,,,,,,10,10
Zwalm,Zwalm,Rozebeke,,,,,,,3,3
Zwalm,Zwalm,Sint-Blasius-Boekel,,,,,,,11,11
Zwalm,Zwalm,Sint-Denijs-Boekel,,,,,,,14,14
Zwalm,Zwalm,Sint-Maria-Latem,,,,,,,7,7
Aarschot,Aarschot,Aarschot,,,,,,195,,195
Aarschot,Aarschot,Gelrode,,,,,,12,1,13
Aarschot,Aarschot,Langdorp,,,,,,59,2,61
Aarschot,Aarschot,Rillaar,,,,,,37,,37
Affligem,Affligem,Essene,,25,,,,,,25
Affligem,Affligem,Hekelgem,,24,,,,,7,31
Affligem,Affligem,Teralfene,,17,,,,,,17
Asse,Asse,Asse,,72,1,,,,45,118
Asse,Asse,Bekkerzeel,,,,,,,4,4
Asse,Asse,Kobbegem,,,,,,,22,22
Asse,Asse,Mollem,,,11,,,,34,45
Asse,Asse,Relegem,,,,,,,15,15
Asse,Asse,Zellik,,,,,,,96,96
Beersel,Beersel,Alsemberg,,,,,35,,10,45
Beersel,Beersel,Beersel,,,,,6,,31,37
Beersel,Beersel,Dworp,,,,,,,42,42
Beersel,Beersel,Huizingen,,,,,,,47,47
Beersel,Beersel,Lot,,,,,,,56,56
Begijnendijk,Begijnendijk,Begijnendijk,,,,,,36,,36
Begijnendijk,Begijnendijk,Betekom,,,,,,32,,32
Bekkevoort,Bekkevoort,Assent,,,,,18,,10,28
Bekkevoort,Bekkevoort,Bekkevoort,,,,,32,,,32
Bekkevoort,Bekkevoort,Molenbeek-Wersbeek,,,,,15,,,15
Bertem,Bertem,Bertem,30,,,,,,,30
Bertem,Bertem,Korbeek-Dijle,6,,,,,,,6
Bertem,Bertem,Leefdaal,20,,,6,,,,26
Bever,Bever,Bever,,,,20,,,,20
Bierbeek,Bierbeek,Bierbeek,,,,,,,37,37
Bierbeek,Bierbeek,Korbeek-Lo,,,,,,,39,39
Bierbeek,Bierbeek,Lovenjoel,,,,,,,25,25
Bierbeek,Bierbeek,Opvelp,,,,,,,4,4
Boortmeerbeek,Boortmeerbeek,Boortmeerbeek,,65,,,,,,65
Boortmeerbeek,Boortmeerbeek,Hever,,41,,,,,,41
Boutersem,Boutersem,Boutersem,,,,,,,27,27
Boutersem,Boutersem,Kerkom,,,,,,,7,7
Boutersem,Boutersem,Neervelp,,,,,,,13,13
Boutersem,Boutersem,Roosbeek,,,,,,,18,18
Diest,Diest,Deurne,,,,,,,16,16
Diest,Diest,Diest,,,,,,,101,101
Diest,Diest,Kaggevinne,,,,,,,17,17
Diest,Diest,Molenstede,,,,,,,42,42
Diest,Diest,Schaffen,,,,,,,48,48
Diest,Diest,Webbekom,,,,,1,,52,53
Dilbeek,Dilbeek,Dilbeek,,,,,35,,84,119
Dilbeek,Dilbeek,Groot-Bijgaarden,,,,,5,,108,113
Dilbeek,Dilbeek,Itterbeek,,,,,25,,7,32
Dilbeek,Dilbeek,Schepdaal,,,,,39,,,39
Dilbeek,Dilbeek,Sint-Martens-Bodegem,,,,,17,,,17
Dilbeek,Dilbeek,Sint-Ulriks-Kapelle,,1,,,11,,3,15
Drogenbos,Drogenbos,Drogenbos,,,,,,,79,79
Galmaarden,Galmaarden,Galmaarden,,,,31,,,,31
Galmaarden,Galmaarden,Tollembeek,,,,25,,,,25
Galmaarden,Galmaarden,Vollezele,,,,16,,,,16
Geetbets,Geetbets,Geetbets,,,,,30,,,30
Geetbets,Geetbets,Grazen,,,,,4,,,4
Geetbets,Geetbets,Rummen,,,,,24,,,24
Glabbeek,Glabbeek,Attenrode,,,,,9,,,9
Glabbeek,Glabbeek,Bunsbeek,,,,,12,,1,13
Glabbeek,Glabbeek,Glabbeek-Zuurbemde,,,,,22,,,22
Glabbeek,Glabbeek,Kapellen,,,,,7,,,7
Gooik,Gooik,Gooik,,,,35,,,,35
Gooik,Gooik,Kester,,,,16,,,,16
Gooik,Gooik,Leerbeek,,,,7,,,,7
Gooik,Gooik,Oetingen,,,,17,,,,17
Grimbergen,Grimbergen,Beigem,,,,,,,7,7
Grimbergen,Grimbergen,Grimbergen,,,,,,,123,123
Grimbergen,Grimbergen,Humbeek,,,,,,,32,32
Grimbergen,Grimbergen,Strombeek-Bever,,,,,,,73,73
Haacht,Haacht,Haacht,,56,,,,,,56
Haacht,Haacht,Tildonk,,36,,,,,1,37
Haacht,Haacht,Wespelaar,,36,,,,,,36
Halle,Halle,Buizingen,,,,,,,39,39
Halle,Halle,Halle,,,,1,,,174,175
Halle,Halle,Lembeek,,,,,,,44,44
Herent,Herent,Herent,,25,,,,,58,83
Herent,Herent,Veltem-Beisem,,11,,,,,22,33
Herent,Herent,Winksele,,11,,,,,25,36
Herne,Herne,Herfelingen,,,,19,,,,19
Herne,Herne,Herne,,,,41,,,,41
Herne,Herne,Sint-Pieters-Kapelle,,,,11,,,,11
Hoegaarden,Hoegaarden,Hoegaarden,,47,,,,,,47
Hoegaarden,Hoegaarden,Meldert,,9,,,,,,9
Hoegaarden,Hoegaarden,Outgaarden,,5,,,,,1,6
Hoeilaart,Hoeilaart,Hoeilaart,,,,,78,,,78
Holsbeek,Holsbeek,Holsbeek,,,,,,,34,34
Holsbeek,Holsbeek,Kortrijk-Dutsel,,,,,,1,11,12
Holsbeek,Holsbeek,Nieuwrode,,,,,,18,1,19
Holsbeek,Holsbeek,Sint-Pieters-Rode,,,,,,,10,10
Huldenberg,Huldenberg,Huldenberg,33,,,,,,,33
Huldenberg,Huldenberg,Loonbeek,7,,,,,,,7
Huldenberg,Huldenberg,Neerijse,19,,,,,,,19
Huldenberg,Huldenberg,Ottenburg,12,,,,,,,12
Huldenberg,Huldenberg,Sint-Agatha-Rode,14,,,,,,1,15
Kampenhout,Kampenhout,Berg,,,,,,,28,28
Kampenhout,Kampenhout,Buken,,4,,,,,,4
Kampenhout,Kampenhout,Kampenhout,,60,,,,,13,73
Kampenhout,Kampenhout,Nederokkerzeel,,21,,,,,,21
Kapelle-op-den-Bos,Kapelle-op-den-Bos,Kapelle-op-den-Bos,,,,,30,,,30
Kapelle-op-den-Bos,Kapelle-op-den-Bos,Nieuwenrode,,,,,18,,,18
Kapelle-op-den-Bos,Kapelle-op-den-Bos,Ramsdonk,,,,,15,,,15
Keerbergen,Keerbergen,Keerbergen,,84,,,,,13,97
Kortenaken,Kortenaken,Hoeleden,,,,,13,,,13
Kortenaken,Kortenaken,Kersbeek-Miskom,,,,,17,,,17
Kortenaken,Kortenaken,Kortenaken,,,,,23,,,23
Kortenaken,Kortenaken,Ransberg,,,,,7,,,7
Kortenaken,Kortenaken,Waanrode,,,,,9,,,9
Kortenberg,Kortenberg,Erps-Kwerps,,,,,,,55,55
Kortenberg,Kortenberg,Everberg,8,,,19,,,,27
Kortenberg,Kortenberg,Kortenberg,,,,,,,57,57
Kortenberg,Kortenberg,Meerbeek,17,,,,,,,17
